date_time,close,vol,spy,return,Beta,WR,RSI,OBV
1/20/21 9:30,3.2084,5178457,380.78,,,,,5178457.0
1/20/21 9:31,3.23,1995504,380.81,0.006732327639945135,,,,7173961.0
1/20/21 9:32,3.23,1596001,380.91,0.0,,,,8769962.0
1/20/21 9:33,3.185,1751775,380.84,-0.01393188854489158,,,,7018187.0
1/20/21 9:34,3.1899,1072650,380.95,0.0015384615384614886,,,,8090837.0
1/20/21 9:35,3.2099,1560515,381.35,0.00626978902159947,,,,9651352.0
1/20/21 9:36,3.23,1248419,381.18,0.006261877317050413,,,,10899771.0
1/20/21 9:37,3.2663,1303065,381.1,0.011238390092879413,,,,12202836.0
1/20/21 9:38,3.265,1152301,380.92,-0.0003980038575758238,,,,11050535.0
1/20/21 9:39,3.295,1665698,381.13,0.009188361408882129,,,,12716233.0
1/20/21 9:40,3.335,1966220,380.97,0.012139605462822445,,,,14682453.0
1/20/21 9:41,3.2414,1709894,381.18199999999996,-0.028065967016491777,,,,12972559.0
1/20/21 9:42,3.2294,883385,381.1,-0.0037021040291231877,,,,12089174.0
1/20/21 9:43,3.08,3541906,381.12,-0.04626246361553232,,-41.411764705882334,,8547268.0
1/20/21 9:44,3.1273,2052462,381.28,0.015357142857142847,-0.0009064534086704708,-100.0,42.22435282837965,10599730.0
1/20/21 9:45,3.1799,1747610,381.162,0.016819620759121356,-0.002577422481776585,-81.4509803921569,45.466063348416284,12347340.0
1/20/21 9:46,3.1678,1283642,381.17,-0.0038051511053805998,-0.002604865510148513,-60.823529411764746,44.491675522493814,11063698.0
1/20/21 9:47,3.1892,616484,381.27,0.006755476987183595,-0.0031700209447841736,-65.56862745098034,50.38817005545285,11680182.0
1/20/21 9:48,3.1888,748199,381.4,-0.0001254233036498409,-0.0032621683674288493,-57.1764705882353,49.89748369058713,10931983.0
1/20/21 9:49,3.16,572137,381.47900000000004,-0.009031610637230236,-0.005240860509186299,-57.333333333333314,45.42453695213643,10359846.0
1/20/21 9:50,3.155,827652,381.44,-0.0015822784810127777,-0.004382126393087355,-68.62745098039211,42.927197284043736,9532194.0
1/20/21 9:51,3.095,1041175,381.25,-0.019017432646592614,-0.001242682797850235,-70.58823529411774,34.53692002166453,8491019.0
