date_time,Real,Predicted,close,Signal,Entry/Exit,Signal_Strength,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Minute Returns,Portfolio Cumulative Returns,Stock Minute Returns,Stock Cumulative Returns,num_date
2021-03-12 15:04:00,0.002747252747252763,0.0055382452886089655,10.92,1.0,0.0,1.0,44559.0,-133677.0,486584.27999999997,502627.98609999986,989212.2660999999,0.010597591567452547,-0.010787733899999874,0.0053582279180246495,-0.026842048978718558,737861.6277777777
2021-03-12 15:05:00,0.001835616438356164,-0.0018745825997271786,10.95,-1.0,-2.0,-0.0,-0.0,-44559.0,0.0,990549.0360999999,990549.0360999999,0.0013513479824409647,-0.009450963899999776,0.0027472527472527375,-0.02416853812426445,737861.6284722222
2021-03-12 15:06:00,0.0009024530314216613,-0.012860032500449764,10.9701,-1.0,0.0,-2.0,-89118.0,-89118.0,-977633.3718000001,1968182.4079,990549.0360999999,0.0,-0.009450963899999776,0.001835616438356169,-0.022377285851780226,737861.6291666667
2021-03-12 15:07:00,0.0037522768670310595,-0.0011300891810139984,10.98,-1.0,0.0,-0.0,-0.0,89118.0,0.0,989666.7679,989666.7679,-0.0008906860416255657,-0.0103332320999997,0.0009024530314216683,-0.02149502726981045,737861.629861111
2021-03-12 15:08:00,0.0007984611476064246,-0.0033752211695692322,11.0212,-1.0,0.0,-1.0,-44559.0,-44559.0,-491093.6508,1480760.4187,989666.7679000001,2.220446049250313e-16,-0.010333232099999479,0.003752276867031057,-0.017823405696360095,737861.6305555556
2021-03-12 15:09:00,0.000797824116047124,-0.0012851478856589868,11.03,-1.0,0.0,-0.0,-0.0,44559.0,0.0,989274.6487,989274.6487,-0.00039621336465822665,-0.01072535129999952,0.0007984611476063996,-0.017039175845720234,737861.63125
2021-03-12 15:10:00,-0.004420770373591365,0.018542642371632844,11.0388,1.0,2.0,3.0,133677.0,133677.0,1475633.6676,-486359.0189,989274.6487,0.0,-0.01072535129999952,0.0007978241160471189,-0.016254945995080372,737861.6319444445
2021-03-12 15:11:00,0.0034576888080071182,-0.00900938912577155,10.99,-1.0,-2.0,-1.0,-44559.0,-178236.0,-489703.41000000003,1472454.6211,982751.2111000001,-0.00659416230727472,-0.01724878889999948,-0.004420770373591343,-0.02060385698499234,737861.6326388889
2021-03-12 15:12:00,-0.0006075444323538771,0.0021780975072051463,11.028,1.0,2.0,0.0,0.0,44559.0,0.0,981057.9691000001,981057.9691000001,-0.0017229609904064747,-0.018942030899999462,0.003457688808007342,-0.017217409902683833,737861.6333333333
2021-03-12 15:13:00,0.0007893805630914209,-0.004182147496307668,11.0213,-1.0,-2.0,-1.0,-44559.0,-44559.0,-491098.1067,1472156.0758000002,981057.9691000002,2.220446049250313e-16,-0.01894203089999924,-0.0006075444323540014,-0.01781449399351187,737861.6340277778
2021-03-12 15:14:00,-0.0009066183136898856,-0.0004666790941031028,11.03,-1.0,0.0,-0.0,-0.0,44559.0,0.0,980670.3058000002,980670.3058000002,-0.0003951482095962966,-0.019329694199999303,0.000789380563091413,-0.017039175845720234,737861.6347222222
2021-03-12 15:15:00,0.0038112522686026685,0.0030036364133016343,11.02,1.0,2.0,0.0,0.0,0.0,0.0,980670.3058000002,980670.3058000002,0.0,-0.019329694199999303,-0.0009066183136898776,-0.017930346130538233,737861.6354166666
2021-03-12 15:16:00,0.002522147893690074,-0.0017963092624862476,11.062,-1.0,-2.0,-0.0,-0.0,-0.0,0.0,980670.3058000002,980670.3058000002,0.0,-0.019329694199999303,0.003811252268602461,-0.014187430934302636,737861.6361111111
2021-03-12 15:17:00,9.017213861143924e-06,0.0068248707172203675,11.0899,1.0,2.0,1.0,44559.0,44559.0,494154.8541,486515.45170000015,980670.3058000002,0.0,-0.019329694199999303,0.0025221478936900965,-0.011701065839660352,737861.6368055556
2021-03-12 15:18:00,0.004057709648331877,-0.00785814381380934,11.09,-1.0,-2.0,-1.0,-44559.0,-89118.0,-494159.31,1474834.0717000002,980674.7617000001,4.543728889805365e-06,-0.019325238299999437,9.017213861151063e-06,-0.011692154136812238,737861.6375
2021-03-12 15:19:00,-0.0022272114952850528,-0.003585286886560613,11.135,-1.0,0.0,-1.0,-44559.0,0.0,-496164.46499999997,1474834.0717000002,978669.6067000002,-0.0020446687100664773,-0.021330393299999306,0.004057709648331853,-0.007681887855131131,737861.6381944445
2021-03-12 15:20:00,0.0008820723299309858,-0.01516459992950449,11.1102,-1.0,0.0,-2.0,-89118.0,-44559.0,-990118.8036000001,1969893.4735000003,979774.6699000002,0.001129148379018563,-0.020225330099999272,-0.002227211495285042,-0.00989199016147968,737861.6388888889
2021-03-12 15:21:00,0.0,-0.0056568400869413385,11.12,-1.0,0.0,-1.0,-44559.0,44559.0,-495496.07999999996,1474397.3935000002,978901.3135000003,-0.0008913849549602171,-0.021098686499999242,0.0008820723299309829,-0.00901864328235813,737861.6395833333
2021-03-12 15:22:00,0.00224820143884898,-0.005245308363523643,11.12,-1.0,0.0,-1.0,-44559.0,0.0,-495496.07999999996,1474397.3935000002,978901.3135000003,0.0,-0.021098686499999242,0.0,-0.00901864328235813,737861.6402777778
2021-03-12 15:23:00,-0.00048452220726781183,-0.00931261948215264,11.145,-1.0,0.0,-2.0,-89118.0,-44559.0,-993220.11,1971007.4485000002,977787.3385000002,-0.0011379849885144733,-0.022212661499999342,0.0022482014388489624,-0.006790717570313021,737861.6409722222
2021-03-12 15:24:00,-0.0008617903694924978,-0.011724581024696536,11.1396,-1.0,0.0,-2.0,-89118.0,0.0,-992738.8728,1971007.4485000002,978268.5757000002,0.0004921695966508821,-0.021731424299999413,-0.00048452220726780126,-0.007271949524114696,737861.6416666667
2021-03-12 15:25:00,0.0004492362982928343,-0.005975081710548868,11.13,-1.0,0.0,-1.0,-44559.0,44559.0,-495941.67000000004,1475065.7785,979124.1085,0.0008745377509316032,-0.020875891499999688,-0.0008617903694925211,-0.008127472997539908,737861.6423611111
2021-03-12 15:26:00,0.0004490345756624949,-0.015279360201327337,11.135,-1.0,0.0,-3.0,-133677.0,-89118.0,-1488493.395,2467394.7085,978901.3135000002,-0.0002275452090962915,-0.021098686499999575,0.0004492362982928544,-0.007681887855130909,737861.6430555555
2021-03-12 15:27:00,0.0006822262118490809,-0.011025525889234,11.14,-1.0,0.0,-2.0,-89118.0,44559.0,-992774.52,1971007.4485000002,978232.9285000002,-0.0006827909931086396,-0.02176707149999957,0.00044903457566247695,-0.007236302712721798,737861.64375
2021-03-12 15:28:00,0.008270838566148717,-0.006177919584599648,11.1476,-1.0,0.0,-1.0,-44559.0,44559.0,-496725.9084,1474281.5401,977555.6317,-0.0006923676153886005,-0.02244436829999974,0.0006822262118491018,-0.0065590132962601855,737861.6444444444
2021-03-12 15:29:00,-0.001628142849516817,-0.011126995574444408,11.2398,-1.0,0.0,-2.0,-89118.0,-44559.0,-1001668.4964000001,1975115.7883000001,973447.2919000001,-0.004202665983168097,-0.026552708099999767,0.008270838566148742,0.001657576729761967,737861.6451388889
2021-03-12 15:30:00,0.005997415675266214,-0.01849241797026087,11.2215,-1.0,0.0,-3.0,-133677.0,-44559.0,-1500056.4555000002,2475134.6068,975078.1513,0.001675344328933015,-0.024921848699999916,-0.0016281428495168448,2.673510854500627e-05,737861.6458333334
2021-03-12 15:31:00,-0.005208702430727773,-0.002151117010897767,11.2888,-1.0,0.0,-0.0,-0.0,133677.0,0.0,966081.6892000001,966081.6892000001,-0.009226401071550594,-0.03391831079999985,0.005997415675266238,0.006024311125370385,737861.6465277778
